rank,Track Name,Artist,Streams,URL,,,,UA,RU,OTHER
102,20К,Kush Lovers,38185,https://open.spotify.com/track/61Se5kNrWTWmCDaRpsFDjd,,,,0,RU,0
103,Bad Habits,Ed Sheeran,37987,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d,,,,0,0,OTHER
104,Cold Heart - PNAU Remix,Elton John,37935,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39,,,,0,0,OTHER
105,The Business,Tiësto,37929,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN,,,,0,0,OTHER
106,Веном,Платина,37887,https://open.spotify.com/track/21BrQW6GdRcMxvrwhIHqzR,,,,0,RU,0
107,Мальчик на девятке,DEAD BLONDE,37858,https://open.spotify.com/track/1tzTlRMcw9xDqrNRzj3H2g,,,,0,RU,0
108,Люди,Дайте танк (!),37644,https://open.spotify.com/track/3rpi29kD9YUDwXz1yhjS7Q,,,,0,RU,0
109,all I want is you,Rebzyyx,37641,https://open.spotify.com/track/7lOvJBqH38ZY59eLU7bioq,,,,0,0,OTHER
110,Do It To It,ACRAZE,37531,https://open.spotify.com/track/20on25jryn53hWghthWWW3,,,,0,0,OTHER
111,Демоны,Три дня дождя,37379,https://open.spotify.com/track/4H15QMzixtVgXvaLPzXN3V,,,,0,RU,0
112,17 лет,Max Korzh,36849,https://open.spotify.com/track/3dlrN8fcpdUx0t2I0QsMH2,,,,0,RU,0
113,Beggin',Måneskin,36791,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,,,,0,0,OTHER
114,Снадобье,Max Korzh,36603,https://open.spotify.com/track/1Wp1sOiUDAQj7hPfq0Rt9k,,,,0,RU,0
115,Star Shopping,Lil Peep,36390,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp,,,,0,0,OTHER
116,Abu Dhabi Ba6y,Платина,36103,https://open.spotify.com/track/3Qo7FF0WmgEt3JG3B2qngy,,,,0,RU,0
117,Ведьмы,BALKON,35983,https://open.spotify.com/track/6Tdzv9TdvBNcRvMbuz6DYL,,,,UA,0,0
118,Captain,MiyaGi,35943,https://open.spotify.com/track/5PfJZqMbH0NZjhI2i9fHuW,,,,0,RU,0
119,Sahara,Hensonn,35894,https://open.spotify.com/track/6nqdgUTiWt4JbABDurkxMI,,,,UA,0,0
120,И ЧТОЭ,INSTASAMKA,35845,https://open.spotify.com/track/6HXheUbvgpEVEFH51ipUf9,,,,0,RU,0
121,ODIUM,LXST CXNTURY,35845,https://open.spotify.com/track/4yyX0nJqMpqaubcGdGsxx9,,,,0,RU,0
122,NHL MONEY,OBLADAET,35777,https://open.spotify.com/track/0s6XU14rLFh4AfCdW2gKAE,,,,0,RU,0
123,SUICIDE YEAR,WEEDMANE,35591,https://open.spotify.com/track/6hRvewF5MRAsqqxnNs3z2b,,,,0,0,OTHER
124,Старшие (feat. Polyana),OG Buda,35174,https://open.spotify.com/track/56eV7dmQU2tlUT9QsVQWUV,,,,0,RU,0
125,Нету интереса,10AGE,35130,https://open.spotify.com/track/1nINIHobpPWexRP8ABH8bT,,,,0,RU,0
126,Втюрилась,Дора,34913,https://open.spotify.com/track/1AuUsvFyFnf2l3E6HKUHO2,,,,0,RU,0
127,Бигасс,SODA LUV,34862,https://open.spotify.com/track/3euwIpljAgZ47S6XnOWaA9,,,,0,RU,0
128,Тысячи рук,SODA LUV,34828,https://open.spotify.com/track/4wT9xC986HKw6LMObnOLfr,,,,0,RU,0
129,KILLKA,Ghostface Playa,34448,https://open.spotify.com/track/3SQV31uJMStclklmwxQHe1,,,,0,0,OTHER
130,Новогодняя,Verka Serduchka,34355,https://open.spotify.com/track/3e4ksSBSoDqTDOCGDwyMQ8,,,,UA,0,0
131,Трахаца,ЛЯЛЬКА,34286,https://open.spotify.com/track/46676b6dbunL2OgPGQw5sv,,,,0,RU,0
132,ночь,ooes,34253,https://open.spotify.com/track/0Mfjy6p9vZsfzbQReWdooZ,,,,0,RU,0
133,Цепи,Skryptonite,34006,https://open.spotify.com/track/2z8QxqQ6Kesq4NFfi7A638,,,,0,RU,0
134,Только по дури,Ежемесячные,33980,https://open.spotify.com/track/24h4LzuORNmnSviYYymhqb,,,,0,RU,0
135,Чистый - OST «Псих»,Skryptonite,33765,https://open.spotify.com/track/2Z0OcpA4i1KayJbXn800le,,,,0,RU,0
136,Errbody Sleeping,Big Baby Tape,33729,https://open.spotify.com/track/2A6bj4o6EMJdCdXzcjMl72,,,,0,RU,0
137,Я так соскучился,Pornofilmy,33661,https://open.spotify.com/track/6OMBhRhwg6cnWR9ghrTubA,,,,0,RU,0
138,Замигает свет,KENTUKKI,33592,https://open.spotify.com/track/0EDYTUzZPOcxUkki7HcHgV,,,,0,RU,0
139,Touch the Sky,Ollane,33389,https://open.spotify.com/track/3CcmGNUCMi8sdk31vDAQVA,,,,0,RU,0
140,дети немой страны,конец солнечных дней,33334,https://open.spotify.com/track/1xwDjxLlGNxXiHYqltJvpH,,,,0,RU,0
141,Стеклянная,GUMA,33240,https://open.spotify.com/track/2mvP5OEZXWL0QefQSq7z6b,,,,0,RU,0
142,Калуські вечорниці (feat. Tember Blanche),KALUSH,33228,https://open.spotify.com/track/6keRNvHKCOhmySQa1jCX8P,,,,UA,0,0
143,Snowman,Sia,33171,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq,,,,0,0,OTHER
144,Зоопарк,10AGE,32755,https://open.spotify.com/track/777TceiGuC1kjvAiVAHvTo,,,,0,RU,0
145,Shivers,Ed Sheeran,32569,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5,,,,0,0,OTHER
146,Kosandra,Miyagi & Andy Panda,32562,https://open.spotify.com/track/4CeBKWWLXMrQMFsP0Q0K3V,,,,0,RU,0
147,Аквариум,Sqwore,32548,https://open.spotify.com/track/0aKXiOFEmprIpNXf8NhGXn,,,,0,RU,0
148,ХЛОПАЙ,INSTASAMKA,32459,https://open.spotify.com/track/0UDtb0fUqBkpXLF52Ry2lg,,,,0,RU,0
149,первое свидание,алёна швец.,32319,https://open.spotify.com/track/4tPB6H0QcK4bDib8iauE28,,,,0,RU,0
150,Ladidadida,Big Baby Tape,32142,https://open.spotify.com/track/5Pjmv35PxL2ByHadh1oRxN,,,,0,RU,0
151,вопрос,вышел покурить,32124,https://open.spotify.com/track/0OQf2nxEo29HqO4iUuHCov,,,,0,RU,0
152,МИЛЛИОН ДОРОГ,SLAVA MARLOW,32108,https://open.spotify.com/track/2ZhjooF9uMm7Luy21vGeSL,,,,0,RU,0
153,MONEY,LISA,32078,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q,,,,0,0,OTHER
154,Freaks,Surf Curse,32053,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr,,,,0,0,OTHER
155,"ГАНЬГ Аутро (feat. Bushido Zho, Scally Milano, MAYOT, Magnum Opus, SEEMEE, YUNGWAY)",OG Buda,31964,https://open.spotify.com/track/3MfoVUFEXWX6bxbACLVZEG,,,,0,RU,0
156,Пушка,10AGE,31861,https://open.spotify.com/track/3UlGli59XnXKdaocUFn0gw,,,,0,RU,0
157,HELLA PLAYERS,OBLADAET,31839,https://open.spotify.com/track/1Kb7obMqEf8I0S84zwOl7C,,,,0,RU,0
158,Infinity,Jaymes Young,31825,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK,,,,0,0,OTHER
159,На твиче,нексюша,31777,https://open.spotify.com/track/5XIQxHGp9glGY6LRKl0qth,,,,0,RU,0
160,masquerade,siouxxie sixxsta,31766,https://open.spotify.com/track/0RYHqnmtNRfbYxP6Dn8Vse,,,,0,0,OTHER
161,ARISTOCRAT,MORGENSHTERN,31677,https://open.spotify.com/track/0si4hbWQ2OwdxKLF6x5xEX,,,,0,RU,0
162,The Motto,Tiësto,31670,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO,,,,0,0,OTHER
163,"Боже, как завидую",HammAli & Navai,31455,https://open.spotify.com/track/3RmwexCac64fi0r4ICWQzS,,,,0,RU,0
164,Scary Garry,Kaito Shoma,31254,https://open.spotify.com/track/658QJ4p8WcbT3O7iWLpO1D,,,,0,RU,0
165,Mazzaleen,lil krystalll,31205,https://open.spotify.com/track/6PQu0Z6jxOIKzAorA66ma2,,,,0,RU,0
166,Andrew Story,Big Baby Tape,31068,https://open.spotify.com/track/0VVa11kcXBGm99NgSiF8Rx,,,,0,RU,0
167,I Got Love,MiyaGi & Endspiel,31008,https://open.spotify.com/track/4vPOGPHcjxdHZ1caxiHiQh,,,,0,RU,0
168,Smells Like Teen Spirit - Remastered,Nirvana,30965,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu,,,,0,0,OTHER
169,Контракт,Poshlaya Molly,30846,https://open.spotify.com/track/2bqS0QtnXGjOYs3z6VtSyW,,,,0,RU,0
170,Astronaut In The Ocean,Masked Wolf,30752,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC,,,,0,0,OTHER
171,Pope Is a Rockstar,SALES,30746,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2,,,,0,0,OTHER
172,Днями-ночами,pyrokinesis,30613,https://open.spotify.com/track/04gmklgYhNhZxRnAvSofoE,,,,0,RU,0
173,Венера-Юпитер,Ваня Дмитриенко,30568,https://open.spotify.com/track/0Ot69EEAbZaZohRSYYu0I7,,,,0,RU,0
174,Кино,MACAN,30546,https://open.spotify.com/track/7q8jzypmJPGTsph168wWjt,,,,0,RU,0
