rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
122,spotify:track:0SzgZTPTdQyBzDKvrq8VlR,ENLEO,веди мене в храм,SADNESS RCRDS,122,123,4,33959,UA,0,0
123,spotify:track:3dv8ZQa96c7IueO4pgKNyy,Scally Milano,Одержим,Scally Milano,123,-1,1,33920,0,RU,0
124,spotify:track:5TK74MJYRmwU5NIAjGRvRq,"Scally Milano, uglystephan",Я хочу тебя трахать,AMC MUSIC,27,106,38,33699,0,RU,0
125,spotify:track:2biQrVojyWPDk6f15rSGJ9,Clonnex,Karpats`kyj Drap,CLONNEX,110,137,4,33180,UA,0,0
126,spotify:track:6gg8BjbmohTzewwSGcuSlj,Jerry Heil,WHEN GOD SHUT THE DOOR,JERRY HEIL,126,126,2,33016,UA,0,0
127,spotify:track:1qC93FzhcsGUFG2ZvcQzrT,Valentin Strykalo,Так гріє,Валентин Стрыкало,34,101,40,32985,UA,0,0
128,spotify:track:7DbdUf8aHSYoliSjO6LZv6,Beach Weather,"Sex, Drugs, Etc.",8123 / Arista Records,73,92,22,32976,0,0,OTHER
129,spotify:track:7jEDJBRIg66qcKcFpgwbUr,"SLAVA MARLOW, Платина, Лера Маяк",Детские травмы,SLAVA MARLOW,129,-1,1,32702,0,RU,0
130,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,Aftermath,94,108,29,32663,0,0,OTHER
131,spotify:track:3khEEPRyBeOUabbmOPJzAG,Kenshi Yonezu,KICK BACK,Sony Music Labels Inc.,114,164,10,32566,0,0,OTHER
132,spotify:track:5Iuwed4U0EhaQTKDTmCTWI,zxcursed,never enough,A+,4,100,41,32553,0,RU,0
133,spotify:track:19CkdonOQ9GzR4LNyom85w,Skofka,Крузак,Skofka,122,133,30,32549,UA,0,0
134,spotify:track:3yDdBYJc55fW1l56EsOgeC,ПОЛМАТЕРИ,псы попадут в рай,"Streaming Club, under exclusive license to Rhymes Music Inc.",98,98,5,32466,0,RU,0
135,spotify:track:5Z8YDahqRCzMQRwKZPk5dC,"Big Baby Tape, kizaru",Million,KISS KOALA,2,115,61,32135,0,RU,0
136,spotify:track:25pKz1rhWO7kYoCZKxNlPQ,"Scally Milano, 163ONMYNECK, FEARMUCH",Два,Scally Milano,136,-1,1,31881,0,RU,0
137,spotify:track:3CCF9HAE7ia9VrME9gQxoN,Skofka,Береза стара,Skofka,104,156,13,31864,UA,0,0
138,spotify:track:56wSomSllGESHGhcfHrvEw,"Okean Elzy, Odyn v Kanoe",Місто весни,"ТОВ ""Суперсиметрія""",41,102,46,31749,UA,0,0
139,spotify:track:5qKLAXmy19fE0Z9vRbLFhz,"Sasha Chemerov, Boombox",Любила,Sasha Chemerov,64,105,39,31711,UA,0,0
140,spotify:track:7EkWXAI1wn8Ii883ecd9xr,Surf Curse,Freaks,Surf Curse,45,131,87,31310,0,0,OTHER
141,spotify:track:7wCmS9TTVUcIhRalDYFgPy,Pixies,Where Is My Mind? - Remastered,4AD,128,141,14,31086,0,0,OTHER
142,spotify:track:4FyesJzVpA39hbYvcseO2d,Lil Uzi Vert,Just Wanna Rock,Generation Now/Atlantic,124,124,5,30923,0,0,OTHER
143,spotify:track:0cCXLN9eUn6dmAgDPpZaJV,jockii druce,шо ви браття,3761125 Records DK,11,119,41,30853,UA,0,0
144,spotify:track:6MlIIJwO4FxnOlrpOrS4hU,INTERWORLD,METAMORPHOSIS - Sped Up,INTERWORLD,126,143,6,30815,0,0,OTHER
145,spotify:track:4jvw60Iw8LpSRJwy1sOmoB,Шайни,Yeyo!,Mansion Music,7,114,45,30802,0,RU,0
146,spotify:track:5grohwSCKaYj35Ea8LjpUT,Motor'Rolla,Восьмий колір,Bog Da Nova Muzyka,71,122,40,30720,UA,0,0
147,spotify:track:1OeGvzNcGC2s6F41lmCdjA,remember.,Кожура,VAUVISION,1,129,50,30593,0,RU,0
148,spotify:track:0JqA8n5VF8GzM36YPyeKPE,Boombox,Люди,"\""melomania\"" Llc",76,130,37,30583,UA,0,0
149,spotify:track:3IuQWB6BsGFc55IOCOGzBK,SadSvit,Персонажі,Independent,95,140,9,30555,UA,0,0
150,spotify:track:2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Softcore,Columbia,52,118,50,30498,0,0,OTHER
151,spotify:track:49uZPm1sSQPcJmN1TnbXij,KRBK,24,KRBK,96,128,29,30436,UA,0,0
152,spotify:track:1K2ORdYBMvi5h4FvQn5hpX,Мюслі UA,"Вова, їбаш їх блять",мюслі UA,2,125,36,30405,UA,0,0
153,spotify:track:4oMyggIzClkOcCTvotFLkP,Ghostface Playa,Why Not,Ghostface Playa,62,134,34,30249,0,0,OTHER
154,spotify:track:2uFaJJtFpPDc5Pa95XzTvg,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,Capitol Records,13,188,11,30181,0,0,OTHER
155,spotify:track:5YfKLc8TrlItpQez1B63od,SLAVA MARLOW,Ровер,SLAVA MARLOW,155,-1,1,30000,0,RU,0
156,spotify:track:0O3TZYgwaRadNprRONZ7iX,PROBASS ? HARDI,Доброго вечора - Where Are You From,Comp Music,20,139,43,29932,UA,0,0
157,spotify:track:3JtqmQTqsJBt6bd6iVtlaI,Epolets,Зраджуй,Epolets,25,162,27,29864,UA,0,0
158,spotify:track:0G17UriYHMjXnZE2OJJSMR,Xantesha,SUNRISE (Slowed + Reverb),Xantesha,84,169,15,29762,UA,0,0
159,spotify:track:3TgVv1B12UrF0cLFAHXuer,LIL MORTY,I Am Cute,Lil Morty,155,-1,8,29666,0,RU,0
160,spotify:track:7GFeKobpFEF8PmecVHgJ3X,LAUD,2 дні,ENJOY! Records,55,142,40,29612,UA,0,0
161,spotify:track:1xK59OXxi2TAAAbmZK0kBL,d4vd,Romantic Homicide,Darkroom/Interscope Records,132,144,12,29593,0,0,OTHER
162,spotify:track:1MiUVjoHt4jiskDrt2ZHrq,LIL MORTY,Я пиздатый,Lil Morty,20,197,66,29512,0,RU,0
163,spotify:track:3F8ydJz1se1vIxZTRcRjIJ,"SHADXWBXRN, ARCHEZ, KXNVRA",PRINCE OF DARKNESS,SHADXWBXRN x ARCHEZ x KXNVRA,85,152,40,29469,0,RU,0
164,spotify:track:5jXocrsUwpKwWyI5BZLKFA,"shadowraze, LXNER, quiizzzmeow",adaptive strike,SAVAGE$TATION,2,145,45,29324,0,RU,0
165,spotify:track:7xyD7BnPi2pY0qrlae3Znd,LOVV66,БАЙ БАЙ,LOVV66,105,120,6,29305,0,RU,0
166,spotify:track:3CIyK1V4JEJkg02E4EJnDl,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,6,132,60,29280,0,0,OTHER
167,spotify:track:12L3PRi1KaDiCPhFngI6Al,Odyn v Kanoe,Човен,Один в каное,81,148,34,29278,UA,0,0
168,spotify:track:0EgNmGWjnYm3FMyaOW5xsM,"Ed Sheeran, Antytila",2step (feat. Antytila),Atlantic Records UK,4,185,34,29188,UA,0,0
169,spotify:track:5hY09NvKjD3gBQS3qhriXD,ssshhhiiittt!,Танцы,ssshhhiiittt!,40,168,126,29018,0,RU,0
170,spotify:track:1QxcWlk8PivolUaWcpAoNq,I Monster,Who Is She ?,Instant Karma,87,110,4,28978,0,0,OTHER
171,spotify:track:0XLRzuKfJ68J8DEBftbMst,"Kalush Orchestra, KALUSH, KOZAK SIROMAHA",Нумо Козаки (Kalush Orchestra feat. KOZAK SIROMAHA),Kalush Orchestra feat. KOZAK SIROMAHA,70,107,3,28858,UA,0,0
172,spotify:track:4ZhLYdmhWdPTZcnAy9SZZO,ПОЛМАТЕРИ,ярче звёзд,"Streaming Club, under exclusive license to Rhymes Music Inc.",12,161,33,28854,0,RU,0
173,spotify:track:3gtOXzaB4v6CFeQcIIS6JP,Artem Pivovarov,Ой на горі,BEST MUSIC,65,146,23,28728,UA,0,0
174,spotify:track:4woIQ3pGTLrBPKav9VHzWV,LOVV66,10М ОТ ДОМА,LOVV66,81,147,10,28701,0,RU,0
175,spotify:track:3yRDM5tBS7H8HG64y3x9kw,CHEEV,Гарно так,UMPG MUSIC,33,149,25,28594,UA,0,0
176,spotify:track:2kx5sQgmjYug0GiDh1a4sU,"Cheriimoya, Sierra Kidd","Living Life, In The Night",Arista Records,53,150,33,28557,0,0,OTHER
177,spotify:track:5JkALM9RiMKLvQNWqUiMBP,kizaru,Дежавю,KISS KOALA,1,159,128,28514,0,RU,0
178,spotify:track:6RmlamfS2Supq8wARlY0QQ,"10AGE, Ramil'",Ау,Rhymes Music Inc.,26,158,83,28396,0,RU,0
179,spotify:track:33iXbCWQerbaT3T9zpSJSf,LIL MORTY,НАС НЕ ВЕРНУТЬ,Lil Morty,52,-1,2,28377,0,RU,0
180,spotify:track:4B8gtpBuEtU9XUizl6BK2W,MoonDeity,WAKE UP!,MoonDeity,87,175,10,28148,0,0,OTHER
181,spotify:track:51K6oQ8WNneTfUaaQnzQdq,СЕРЕГА ПИРАТ,Почему ты еще не фанат?,"Streaming Club, under exclusive license to Rhymes Music Inc.",102,127,25,28084,0,RU,0
182,spotify:track:5lJb9P3Qw02iy9devvcbjA,KRBK,Девушка в чёрном,KRBK,171,171,3,28069,UA,0,0
183,spotify:track:1tkHHqMZaVoNtQvC32Om8X,"ONIMXRU, STRAWANGLE",PSYCHO CRUISE,ONIMXRU x STRAWANGLE,139,165,4,28053,0,RU,0
184,spotify:track:7giM1afPSppWJMFLtXriGC,"Big Baby Tape, kizaru",Bandana,KISS KOALA,1,174,61,27981,0,RU,0
185,spotify:track:3EvXQ9WTEXedoztF3uBU8r,Scally Milano,Могу Ли Я?,Scally Milano,185,-1,1,27938,0,RU,0
186,spotify:track:7mXxcF1nFQvcvANuYwdrv2,KALUSH,Зорi,Columbia Local,10,151,93,27919,UA,0,0
187,spotify:track:48rEQMOxcCHEmSj4zYZGDt,SLAVA MARLOW,Лиза,SLAVA MARLOW,187,-1,1,27879,0,RU,0
188,spotify:track:3Hff4mCaUFKzrq05w78tEn,Clonnex,Ya Lyublyu,CLONNEX,6,167,18,27878,UA,0,0
189,spotify:track:58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,505,Domino Recording Co,114,176,20,27820,0,0,OTHER
190,spotify:track:7531LJBRaF28aP1wTepJNO,SLAVA MARLOW,Каблуки,SLAVA MARLOW,190,-1,1,27721,0,RU,0
191,spotify:track:2oWgWLuVC8rWvUn1eiNHmZ,"Scally Milano, Pasha Technique, uglystephan",Променяла,Scally Milano,191,-1,1,27647,0,RU,0
192,spotify:track:7D8k995g6jdie4NF1E7Tpu,"WENARO, LXNER",Лёд,SAVAGE$TATION,2,155,70,27524,0,RU,0
193,spotify:track:4xF4ZBGPZKxECeDFrqSAG4,"?neheart, reidenshi",snowfall,?neheart & reidenshi / dreamscape,161,163,6,27454,0,RU,0
194,spotify:track:6bCLkzoE3agC7Ws9NxVxIn,KRBK,Крепче,KRBK,184,184,2,27451,UA,0,0
195,spotify:track:7KmbiagSkUbepU88x7NWjb,Kordhell,Scopin,Kordhell,195,-1,1,27447,0,0,OTHER
196,spotify:track:0ubXin6z8GIsaVDppNWezJ,TVORCHI,Боремося,Tvorchi,154,-1,2,27365,UA,0,0
197,spotify:track:6jdwbcH788txYS6Doy1F1j,"1nonly, SXMPRA",Step Back!,NSF Productions LLC,163,-1,3,27336,0,0,OTHER
198,spotify:track:58HvfVOeJY7lUuCqF0m3ly,Elley Duh?,MIDDLE OF THE NIGHT,Not Fit For Society/RCA Records,22,160,61,27229,0,0,OTHER
199,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,178,123,27222,0,0,OTHER
200,spotify:track:38Jz5IUEXhwvI8c9GKODQU,kizaru,Break Up,Effective Records / Haunted Family,7,113,5,27143,0,RU,0
