rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER,
111,spotify:track:5X1FYw7MXEgnPmQAYwAa0q,quiizzzmeow,Aomine Daiki,SAVAGE$TATION,1,106,45,34507,0,RU,0,
112,spotify:track:60PINd8oHZjazE0J9cuKcA,zxcursed,killua,A+,11,84,12,34434,0,RU,0,
113,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,35,103,56,34276,0,0,OTHER,
114,spotify:track:7KXAgGAHEB1Ny89pL6eEA0,yatashigang,Demons Around,yatashigang,114,-1,1,33666,0,0,OTHER,!!
115,spotify:track:6RmlamfS2Supq8wARlY0QQ,"10AGE, Ramil'",Ау,Rhymes Music Inc.,26,93,64,33662,0,RU,0,
116,spotify:track:4aYamw19Hloc6hQlJwWM1y,Kordhell,LAND OF FIRE,Kordhell,116,-1,1,33624,0,0,OTHER,
117,spotify:track:1guHCTD0uiEgTG3HOPgBmU,GRAVECHILL,Twilight,GRAVECHILL,96,114,18,33598,0,0,OTHER,
118,spotify:track:0gucTLf7trAf37Ua1uAyAu,Nirvana,Smells Like Teen Spirit,Geffen,76,110,84,33582,0,0,OTHER,
119,spotify:track:1n7AVWNbLx5OUhItzDTj4A,Jerry Heil,#ПОШТА,Secret Service Digital & Publishing LTD,34,120,23,33381,UA,0,0,
120,spotify:track:30bqVoKjX479ab90a8Pafp,Lil Peep,Star Shopping,Lil Peep,53,126,107,32855,0,0,OTHER,
121,spotify:track:38sNsooZ7WRWAZkQnpHZcG,Wellboy,Ворогів на ножі,Wellboy,121,130,4,32563,UA,0,0,
122,spotify:track:19CkdonOQ9GzR4LNyom85w,Skofka,Крузак,Skofka,122,135,11,32539,UA,0,0,
123,spotify:track:4v2RVsMWMLpzpmKq3THgFc,BUSHIDO ZHO,макинтош бизнес онли,cplus,14,156,28,32373,0,RU,0,
124,spotify:track:5hY09NvKjD3gBQS3qhriXD,ssshhhiiittt!,Танцы,ssshhhiiittt!,40,125,107,32079,0,RU,0,
125,spotify:track:3auzaPW4fXa8oI4KbTalAU,"shadowraze, babyswishh1",psiblades,Союз Мьюзик,9,117,45,32066,0,RU,0,
126,spotify:track:0xY3mc3o0NJ3CetKAV8ma3,"Poshlaya Molly, Молодой Платон",ШКОЛЬНИК,DROPBLED,18,100,7,32011,0,RU,0,
127,spotify:track:6GyZQ9o0dBU9V0NIjGPz2r,FACE,Домино,Face,15,121,33,31809,0,RU,0,
128,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,133,108,31731,0,0,OTHER,
129,spotify:track:4ZOjdqmXLuwHDQUn9WWoFR,Минин,Зелёный глаз,VHQ Distribution,7,152,26,31642,0,RU,0,
130,spotify:track:1Yaq1dsl9Ioj7wyGP2KNRe,"alyona alyona, Jerry Heil",Рідні мої (feat. Jerry Heil),Columbia Local,116,-1,6,31583,UA,0,0,
131,spotify:track:4woTEX1wYOTGDqNXuavlRC,"Eminem, Dina Rae",Superman,Aftermath,115,115,3,31384,0,0,OTHER,
132,spotify:track:3ICTmbm0RyjP8qQjUYHxB1,"KALUSH, Skofka",Давай начистоту (feat. Skofka),Columbia Local,53,136,23,31314,UA,0,0,
133,spotify:track:1aXV8GrmQLvgoFtBPERP7E,Eyedress,Jealous,Lex Records,129,129,25,31274,0,0,OTHER,
134,spotify:track:4h3KlpOEXS6FxIpab6EKlf,MC ORSEN,INCOMING,MC ORSEN,113,127,15,31253,0,0,OTHER,
135,spotify:track:2WoksKIDPQ8o90cqDbgE7L,Patsyki Z Franeka,Марічка,FFK REKORDZ,60,128,13,31119,UA,0,0,
136,spotify:track:3yCKABoZU3FVFuyVBc5VlM,"rizza, Sqwore",плачь,Adam Music,6,101,44,31033,0,RU,0,
137,spotify:track:5YZNLIF1saO6y3T8FaQoom,Нумер 482,"Добрий ранок, Україно",Moon Vinyl s.r.o.,90,112,17,30933,UA,0,0,
138,spotify:track:57V0VhEg1CAkPXeaCLikNW,shadowraze,juggernaut (Prod. by PLVSTIC),Союз Мьюзик,7,123,52,30876,0,RU,0,
139,spotify:track:7biChppM3c8q7qcVl7ceb2,FACE,ЛАБИРИНТ,Face,8,105,38,30686,0,RU,0,
140,spotify:track:2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Softcore,Columbia,52,134,31,30666,0,0,OTHER,
141,spotify:track:4AMCdODHG4ZZ1BiErHt0VI,Egor Kreed,We Gotta Get Love,ЕГОР КРИД,37,98,3,30531,0,RU,0,
