rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
64,spotify:track:3pzr7iKQpV9QjLGcLcd2ic,"uglystephan, Scally Milano",Заберу,Mansion Music,1,57,23,53437,0,RU,0
65,spotify:track:7uoFMmxln0GPXQ0AcCBXRq,Sia,Snowman,Monkey Puzzle/Atlantic,42,78,12,53102,0,0,OTHER
66,spotify:track:5sQpS3fyw6VBpPioNlrCn1,Slavik Pogosov,Монро,Союз Мьюзик,34,34,2,52739,0,RU,0
67,spotify:track:2kWuVqpxPnj131Z53vxF98,"alyona alyona, Jerry Heil, ela.",KUPALA,Columbia Local,4,71,26,51965,UA,0,0
68,spotify:track:6keRNvHKCOhmySQa1jCX8P,"KALUSH, Tember Blanche",Калуські вечорниці (feat. Tember Blanche),Columbia Local,5,67,55,51702,UA,0,0
69,spotify:track:4NgherJDfCXWBZBYheM4jK,Kxllswxtch,WASTE,KILL! / EMPIRE,23,65,10,51215,0,0,OTHER
70,spotify:track:489WGIBYPf4nallnJOHpK6,"Chico, Qatoshi",Ластівки,Naprocente music,7,75,29,51194,UA,0,0
71,spotify:track:5dSOtyf70O6fG1xm4xFeTD,"KALUSH, Kalush Orchestra, The Rasmus",In The Shadows Of Ukraine (feat. The Rasmus),Columbia Local,8,70,11,50162,UA,0,0
72,spotify:track:5ZNmRNEc0i3o8sP9NKqsvQ,jockii druce,боі стули пельку,3761125 Records DK,2,69,22,49376,UA,0,0
73,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,25,82,18,49321,0,0,OTHER
74,spotify:track:4LVrOvwpUuJFP2JsIGTptg,KOLA,Чи разом,BEST MUSIC,13,83,31,49258,UA,0,0
75,spotify:track:3CLSHJv5aUROAN2vfOyCOh,DVRST,Close Eyes,DVRST,6,66,82,49069,0,RU,0
76,spotify:track:7dpget8s2QN51jYbNqVYtG,Quest Pistols Official,Ти неймовірна,Quest Pistols,53,53,3,48831,UA,0,0
77,spotify:track:5BvKkMNYoZYYeTGVFhjlRv,Jerry Heil,Кохайтеся Чорнобриві,Universal Music Polska Sp. Z.o.o (Ukraine Distribution Deals),30,72,21,48699,UA,0,0
78,spotify:track:7uHFrsclJjAhONLcc8grZU,"VovaZiLvova, Morphom",Шукав тебе. Знайшов тебе,Hitwonder,54,84,33,48475,UA,0,0
79,spotify:track:6gtK39SLszESqJFu2SkId3,Wellboy,Додому,PAPA MUSIC,79,-1,1,48408,UA,0,0
80,spotify:track:37GixdIXusxU3cn3Yfg6OK,GONE.Fludd,OVERHEAVEN,GLAM GO GANG! | LootVox Music,80,-1,1,47891,0,RU,0
81,spotify:track:4woTEX1wYOTGDqNXuavlRC,"Eminem, Dina Rae",Superman,Aftermath,38,68,21,47857,0,0,OTHER
82,spotify:track:4LKfJMumpW7HyBT05uXYUx,Khrystyna Soloviy,Тримай,"ТОВ ""Суперсиметрія""",8,86,46,47506,UA,0,0
83,spotify:track:48fzAdCxamFYCHNXXLk6zn,shadowraze,showdown,Союз Мьюзик,1,77,44,46825,0,RU,0
84,spotify:track:1AHMBgE9uJ5VFObhPxsbCK,Nikitata,SANTA DADDY,Goost Music,48,48,2,46587,0,RU,0
85,spotify:track:1qDqswcqJ7QxtbVlDv5P6W,"Taras Chubay, Плач Єремії",Вона,Comp Music Ltd,44,89,42,46541,UA,0,0
86,spotify:track:0VGLb6IeeG5ZqonN5EavDu,КАКАЯ РАЗНИЦА,Рассвет,Какая Разница,29,76,55,46247,0,RU,0
87,spotify:track:5FX30idriKlEIRYTxpNf65,KUTE,AVOID ME,KUTE,61,85,34,45963,0,0,OTHER
88,spotify:track:34lfu3S4fIcKZRNXzbdbo7,Kordhell,Live Another Day,Kordhell,66,81,43,45080,0,0,OTHER
89,spotify:track:4uLe9sk4nymENqN4RHbFIQ,"phonk.me, KIIXSHI",GHOST!,Phonk Workshop,89,-1,1,44800,UA,0,0
90,spotify:track:6nqdgUTiWt4JbABDurkxMI,Hensonn,Sahara,Hensonn,47,80,59,44594,UA,0,0
91,spotify:track:26yvlxKTtN2u3mpbl6AIeI,FACE,Антидепрессант,Face,74,92,42,44008,0,RU,0
92,spotify:track:7biChppM3c8q7qcVl7ceb2,FACE,ЛАБИРИНТ,Face,8,87,55,43996,0,RU,0
93,spotify:track:0olubSy8HbZBrCJlSHV7ex,Кишлак,Я уёбываю в джаз,KISS KOALA,61,101,30,43427,0,RU,0
94,spotify:track:1K2ORdYBMvi5h4FvQn5hpX,Мюслі UA,"Вова, їбаш їх блять",мюслі UA,2,138,38,43193,UA,0,0
95,spotify:track:2kLmAwQCBSlvtcptioAoTv,LOVV66,5IVE,LOVV66,95,149,2,42406,0,RU,0
96,spotify:track:1qC93FzhcsGUFG2ZvcQzrT,Valentin Strykalo,Так гріє,Валентин Стрыкало,34,122,42,41970,UA,0,0
97,spotify:track:7HTg62Q8pSIO5QRxvCDc0X,"Golubenko, Clonnex",Мила,BEST MUSIC,64,90,9,41730,UA,0,0
98,spotify:track:19CkdonOQ9GzR4LNyom85w,Skofka,Крузак,Skofka,98,108,32,41595,UA,0,0
