rank,track_name,artist_names,streams,URL,,,,UA,RU,OTHER
65,Sweater Weather,The Neighbourhood,32610,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,,,,0,0,OTHER
66,Как тебя покорить,Перемотка,32414,https://open.spotify.com/track/1CqOEa4NIRBaWR6sNHTDTo,,,,0,RU,0
67,сети,quiizzzmeow,32365,https://open.spotify.com/track/2mKa6WpSZ97avRyIlPKRK8,,,,0,RU,0
68,Baby mama,Skryptonite,32363,https://open.spotify.com/track/5X33A2X2OuQXUOKhawWCMm,,,,0,RU,0
69,Привет,Kambulat,32341,https://open.spotify.com/track/2INWHGzw5qTbdeLDARChfe,,,,0,RU,0
70,Звезда упала,Sqwore,32340,https://open.spotify.com/track/2398GSLbctyjLClJrqskt2,,,,0,RU,0
71,Notion,The Rare Occasions,32168,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4,,,,0,0,OTHER
72,Зелёный глаз,Минин,31564,https://open.spotify.com/track/4ZOjdqmXLuwHDQUn9WWoFR,,,,0,RU,0
73,Softcore,The Neighbourhood,31473,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha,,,,0,0,OTHER
74,STAY (with Justin Bieber),The Kid LAROI,31417,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,,,,0,0,OTHER
75,ДРЕССКОД,Nikitata,31018,https://open.spotify.com/track/1QyvurbWtrlEUK1ZnyHsyH,,,,0,RU,0
76,ПОЧЕМУ?,MORGENSHTERN,30884,https://open.spotify.com/track/6TYmpWMxhqv0TVtiAIwzBW,,,,0,RU,0
77,Дорадура,Дора,30517,https://open.spotify.com/track/4mTPviBGRgjPxeaQFnBDW3,,,,0,RU,0
78,Демоны,Три дня дождя,30444,https://open.spotify.com/track/4H15QMzixtVgXvaLPzXN3V,,,,0,RU,0
79,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,30352,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk,,,,0,0,OTHER
80,Я всё решу (Intro),ZAPOMNI,30269,https://open.spotify.com/track/3sRsr0TzQ1gMEEzJfWf9cW,,,,0,RU,0
81,ночь,ooes,30229,https://open.spotify.com/track/0Mfjy6p9vZsfzbQReWdooZ,,,,0,RU,0
82,дети немой страны,конец солнечных дней,30074,https://open.spotify.com/track/1xwDjxLlGNxXiHYqltJvpH,,,,0,RU,0
83,Днями-ночами,pyrokinesis,29975,https://open.spotify.com/track/04gmklgYhNhZxRnAvSofoE,,,,0,RU,0
84,Инкассатор,ROCKET,29575,https://open.spotify.com/track/4DcMqvjv5pcYVu9jTBhpDH,,,,0,RU,0
85,Патрон,Miyagi & Andy Panda,29569,https://open.spotify.com/track/3uCth4TIWyeQDnj3YbAVQB,,,,0,RU,0
86,МЯТОЙ - remix 2010,КОСМОНАВТОВ НЕТ,29461,https://open.spotify.com/track/0ZGHCIFlJWqwB4TpG8LFbe,,,,0,RU,0
87,No Love,АДЛИН,29439,https://open.spotify.com/track/03TPcM9vWUmc8y6LkJAzwJ,,,,0,RU,0
88,СПАСАТЕЛЬНЫЙ КРУГ,FACE,29357,https://open.spotify.com/track/08pVm2BCyMSevBLXYLysqi,,,,0,RU,0
89,Star Shopping,Lil Peep,29279,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp,,,,0,0,OTHER
90,Без бою,Okean Elzy,29216,https://open.spotify.com/track/0Y5i43d7YtHWyYulOojDXP,,,,UA,0,0
91,Hard Drive,Griffinilla,29066,https://open.spotify.com/track/4xx37dCWh0zxsWsq4zg6GF,,,,0,0,OTHER
92,макинтош бизнес онли,BUSHIDO ZHO,28907,https://open.spotify.com/track/70IFNhUiuZohVFIQLFmgDY,,,,0,RU,0
93,Vlone,FACE,28668,https://open.spotify.com/track/6qZra71fzsZOgmCPwzBKLt,,,,0,RU,0
94,She Wants,ROCKET,28668,https://open.spotify.com/track/5XFPXH2ieaL05Xgsati1JJ,,,,0,RU,0
95,Миллионы,THRILL PILL,28637,https://open.spotify.com/track/3F3bEnE5mney9PyuFU7LS8,,,,0,RU,0
96,Devil Eyes,ZODIVK,28499,https://open.spotify.com/track/04cMUwER7r2VwqMCj4kYJ9,,,,0,RU,0
97,Ghoul,Twinky,28462,https://open.spotify.com/track/2diJF8UbIsmOilJU3BTTyM,,,,0,RU,0
98,PRINCE OF DARKNESS,SHADXWBXRN,28308,https://open.spotify.com/track/3F8ydJz1se1vIxZTRcRjIJ,,,,0,RU,0
99,Місто весни,Okean Elzy,28235,https://open.spotify.com/track/56wSomSllGESHGhcfHrvEw,,,,UA,0,0
100,Вина (feat. 17 SEVENTEEN),OG Buda,28233,https://open.spotify.com/track/1Kp2TF4fFYjJPqEMf1U0RK,,,,0,RU,0
101,ТАЙМАУТ,Nikitata,28072,https://open.spotify.com/track/175xPRXSrf7RSWdjAhc6oD,,,,0,RU,0
102,Кукла колдуна,Korol i Shut,27722,https://open.spotify.com/track/2DYzsMQpO7xOw7b3JwyIWP,,,,0,RU,0
103,Ау,10AGE,27638,https://open.spotify.com/track/6RmlamfS2Supq8wARlY0QQ,,,,0,RU,0
104,Динозаврики,Папин Олимпос,27319,https://open.spotify.com/track/4tP3JZw4NcKQJitu7F3SCa,,,,0,RU,0
105,засыпай,ssshhhiiittt!,27080,https://open.spotify.com/track/5U6sM9kRxOJ2dXPyUT4w7l,,,,0,RU,0
106,Зорi,KALUSH,27040,https://open.spotify.com/track/7mXxcF1nFQvcvANuYwdrv2,,,,UA,0,0
107,надежда,ssshhhiiittt!,26936,https://open.spotify.com/track/5axNFRXx6NST1qeRolD8E9,,,,0,RU,0
108,SUICIDE YEAR,WEEDMANE,26860,https://open.spotify.com/track/6hRvewF5MRAsqqxnNs3z2b,,,,0,0,OTHER
109,Mama Makusa,Big Baby Tape,26759,https://open.spotify.com/track/6h2f5GrfpXo6eZCxUdzvF2,,,,0,RU,0
110,#ПОШТА,Jerry Heil,26750,https://open.spotify.com/track/1n7AVWNbLx5OUhItzDTj4A,,,,UA,0,0
111,Холодное оружие,Sqwore,26747,https://open.spotify.com/track/1qNe5rzjYah7emeSt96L6n,,,,0,RU,0
112,спать с тобой,хочуспать,26531,https://open.spotify.com/track/0cXmD7OpJfjmKP7zlrMQHS,,,,0,RU,0
113,Scary Garry,Kaito Shoma,26370,https://open.spotify.com/track/658QJ4p8WcbT3O7iWLpO1D,,,,0,RU,0
114,ODIUM,LXST CXNTURY,26345,https://open.spotify.com/track/4yyX0nJqMpqaubcGdGsxx9,,,,0,RU,0
115,Sahara,Hensonn,26267,https://open.spotify.com/track/6nqdgUTiWt4JbABDurkxMI,,,,UA,0,0
116,abcdefu,GAYLE,25845,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,,,,0,0,OTHER
117,Big Tymers,Big Baby Tape,25774,https://open.spotify.com/track/66jiJ5DX54pWNBL2Vt2859,,,,0,RU,0
118,Антидепрессант,FACE,25696,https://open.spotify.com/track/26yvlxKTtN2u3mpbl6AIeI,,,,0,RU,0
119,ЮМОРИСТ - Original Motion Picture Soundtrack,FACE,25636,https://open.spotify.com/track/571md1FedFYFaYUMUktYaF,,,,0,RU,0
120,Сан Ларан,Платина,25497,https://open.spotify.com/track/07OqyOeHz7LOGVuXUx4pr3,,,,0,RU,0
121,Revenge,XXXTENTACION,25438,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW,,,,0,0,OTHER
122,toxin,Benedixhion,25335,https://open.spotify.com/track/79i617mqpQLwUs3WTokYX9,,,,0,0,OTHER
123,СТОМАТОЛОГИЧКА,163ONMYNECK,25162,https://open.spotify.com/track/1GAQCGqNVPWbM7Qm1cbi62,,,,0,RU,0
124,Буква Х,Scally Milano,25127,https://open.spotify.com/track/320b8n5Ew9RgzDP67tVIx1,,,,0,RU,0
125,У мене немає дому,Odyn v Kanoe,25112,https://open.spotify.com/track/4GC6tlXcAsyp4pNrlyo1pb,,,,UA,0,0
126,СОЛНЦЕ МОНАКО,Lusia Chebotina,25009,https://open.spotify.com/track/5YDBHDEIgWkfairCJgGApW,,,,0,RU,0
127,Мой байк,СЕРЕГА ПИРАТ,25004,https://open.spotify.com/track/4ZXE5Lwt3DiQ1J66nP8YQj,,,,0,RU,0
128,Toxic,BoyWithUke,24845,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v,,,,0,0,OTHER
129,Батареи,Нервы,24824,https://open.spotify.com/track/5VXf1XETOMtk0WZIT4Bw3M,,,,0,RU,0
130,u.,niteboi,24758,https://open.spotify.com/track/0J7oHYxjF6Oln61wy0kP2i,,,,0,RU,0
131,Smells Like Teen Spirit - Remastered,Nirvana,24749,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu,,,,0,0,OTHER
132,зима,ooes,24695,https://open.spotify.com/track/0cOftxEWGyu4XAqEsqmdWS,,,,0,RU,0
133,Снова обогнал их,uglystephan,24657,https://open.spotify.com/track/2ZTJxMmPZizet6NSJmSezo,,,,0,RU,0
134,Дом Периньон,Poshlaya Molly,24458,https://open.spotify.com/track/0i8YObgqnjZYoYJOQbwLHq,,,,0,RU,0
135,Infinite Tsukuyomi,ROCKET,24291,https://open.spotify.com/track/1w6yKhAgRhIaZhsWEay2H3,,,,0,RU,0
136,На небі,Okean Elzy,24078,https://open.spotify.com/track/307BZpDAtO3OwRs2wrV1S9,,,,UA,0,0
137,Диалоги тет-а-тет,ALEKS ATAMAN,24066,https://open.spotify.com/track/7qEZALeVloIwiz6tvX8ZUL,,,,0,RU,0
138,Люди,Дайте танк (!),24052,https://open.spotify.com/track/3rpi29kD9YUDwXz1yhjS7Q,,,,0,RU,0
139,24 на 7,FACE,23900,https://open.spotify.com/track/2am944KUlJJbeXQ4nm1ipw,,,,0,RU,0
140,KILLKA,Ghostface Playa,23771,https://open.spotify.com/track/3SQV31uJMStclklmwxQHe1,,,,0,0,OTHER
141,вопрос,вышел покурить,23641,https://open.spotify.com/track/0OQf2nxEo29HqO4iUuHCov,,,,0,RU,0
142,Disaster,KSLV Noh,23636,https://open.spotify.com/track/0PGAJ37n4O2AslZosr1YGx,,,,0,0,OTHER
